,Player,Position,Height,Weight,Draft Year,2024-2025 Leagues,2024-2025 Team,NHL Rights,2025 NHL Equivalency,Star Probability,NHLer Probability
226,Noel Fransen,D,"6'1""",187,1,allsvenskan,Västerås IK,Carolina Hurricanes,11.52,2.44%,39.1%
227,Tomas Mrsic,F,"6'0""",170,1,whl,Prince Albert Raiders,St. Louis Blues,16.04,2.42%,21.56%
228,Melvin Fernstrom,F,"6'2""",190,1,"superelit, shl",Örebro HK,Vancouver Canucks,15.39,2.42%,26.84%
229,Theodor Niederbach,F,"5'11""",172,5,shl,MoDo Hockey,Detroit Red Wings,30.02,2.4%,4.35%
230,Vadim Dudorov,F,"5'11""",183,1,mhl,totals,-,13.51,2.4%,16.85%
51,Owen Martin,F,"6'0""",183,0,whl,Spokane Chiefs,-,10.1,2.39%,13.48%
232,Tomas Galvas,D,"5'10""",154,1,"czech-u20, wjc-20, czech",Bílí Tygři Liberec,-,11.94,2.37%,13.42%
233,Gavin Brindley,F,"5'9""",168,2,ahl,Cleveland Monsters,Columbus Blue Jackets,10.44,2.36%,8.05%
234,Justin Kipkie,D,"6'3""",207,2,whl,Victoria Royals,Arizona Coyotes,11.22,2.35%,43.66%
52,Tomas Pobezal,F,"5'10""",179,0,"slovakia, wjc-20",HK Nitra,-,12.32,2.35%,8.41%
236,Kirill Dolzhenkov,F,"6'6""",223,3,"khl, vhl",CSKA Moskva,Columbus Blue Jackets,17.43,2.35%,41.12%
237,Artemi Nizameyev,F,"5'10""",192,1,ushl,Tri-City Storm,-,12.18,2.34%,8.16%
238,Kasper Halttunen,F,"6'4""",205,2,"wjc-20, ahl, ohl",London Knights,San Jose Sharks,13.73,2.33%,29.72%
239,Noah Ostlund,F,"5'11""",174,3,"ahl, nhl",Rochester Americans,Buffalo Sabres,21.69,2.33%,29.58%
240,Jake Richard,F,"6'1""",194,3,ncaa,Univ. of Connecticut,Buffalo Sabres,20.09,2.32%,23.02%
241,Felix Nilsson,F,"6'0""",192,2,"allsvenskan, wjc-20, shl",Rögle BK,Nashville Predators,22.73,2.3%,21.84%
242,Justin Robidas,F,"5'8""",176,4,ahl,Chicago Wolves,Carolina Hurricanes,25.09,2.3%,4.05%
243,Rodwin Dionicio,D,"6'2""",207,3,"ahl, nla",San Diego Gulls,Anaheim Ducks,15.55,2.28%,66.14%
244,Kristian Epperson,F,"6'0""",185,1,ohl,Saginaw Spirit,-,16.29,2.27%,19.41%
245,Oscar Fisker Mlgaard,F,"6'0""",168,2,"ahl, shl",HV71,Seattle Kraken,21.72,2.25%,37.36%
246,Luca Pinelli,F,"5'9""",168,2,"wjc-20, ohl",Ottawa 67's,Columbus Blue Jackets,15.49,2.25%,9.52%
247,Felix Lacerte,F,"5'10""",170,1,qmjhl,Shawinigan Cataractes,-,11.76,2.25%,8.32%
248,Maxim Fedotov,D,"5'10""",172,5,khl,HK Sochi,-,11.07,2.23%,2.62%
249,Benjamin Rautiainen,F,"6'0""",174,2,"wjc-20, liiga",Tappara,-,22.5,2.22%,27.0%
250,Adam Jecho,F,"6'5""",201,1,"wjc-20, whl",Edmonton Oil Kings,St. Louis Blues,12.2,2.21%,29.1%
251,Mikhail Goryunov-Rolgizer,F,"5'11""",179,4,"khl, vhl",Chelmet Chelyabinsk,-,25.75,2.19%,3.18%
252,Jere Lassila,F,"5'10""",176,3,liiga,JYP,-,21.83,2.17%,9.08%
253,Ignat Lutfullin,F,"5'11""",192,2,"vhl, mhl",SKA-1946 St. Petersburg,-,16.26,2.16%,12.07%
53,Timofei Gusev,F,"6'1""",176,0,russia-u18,Slavutich Smolensk U18,-,10.97,2.16%,19.13%
255,Charlie Cerrato,F,"6'0""",190,2,ncaa,Penn State Univ.,-,17.56,2.16%,17.37%
54,Travis Hayes,F,"5'11""",168,0,ohl,Soo Greyhounds,-,9.27,2.15%,10.95%
257,Juuso Maenpaa,F,"5'7""",148,5,liiga,KalPa,-,23.71,2.15%,3.45%
258,Anthony Cristoforo,D,"6'0""",181,1,ohl,Windsor Spitfires,-,11.09,2.15%,49.19%
259,Sam O'Reilly,F,"6'1""",190,1,ohl,London Knights,Edmonton Oilers,13.53,2.14%,18.46%
260,Oliver Tulk,F,"5'8""",174,2,whl,Calgary Hitmen,-,17.82,2.14%,8.61%
55,Jonas Woo,D,"5'9""",165,0,whl,Medicine Hat Tigers,-,8.74,2.14%,16.48%
262,Charlie Stramel,F,"6'3""",223,2,ncaa,Michigan State Univ.,Minnesota Wild,11.59,2.13%,6.21%
263,Kamil Bednarik,F,"6'0""",185,1,ncaa,Boston Univ.,New York Islanders,7.55,2.13%,6.67%
264,Filip Bystedt,F,"6'2""",187,3,ahl,San Jose Barracuda,San Jose Sharks,19.8,2.12%,45.9%
265,Fabian Lysell,F,"5'11""",181,4,"ahl, nhl",Providence Bruins,Boston Bruins,20.81,2.11%,26.59%
266,Jake Livanavage,D,"5'10""",174,3,ncaa,Univ. of North Dakota,-,11.71,2.08%,7.48%
267,Tyson Jugnauth,D,"5'11""",170,3,whl,Portland Winterhawks,Seattle Kraken,15.86,2.06%,10.6%
268,Emil Hemming,F,"6'2""",196,1,"wjc-20, ohl",Barrie Colts,Dallas Stars,9.78,2.06%,14.24%
269,Daniil Anatsky,F,"6'2""",214,1,mhl,totals,-,6.76,2.06%,13.59%
270,Emil Andrae,D,"5'9""",190,5,"ahl, nhl",Philadelphia Flyers,Philadelphia Flyers,16.19,2.06%,25.24%
271,Roman Luttsev,F,"6'1""",174,1,mhl,totals,-,15.22,2.03%,20.15%
272,Jeremie Poirier,D,"6'1""",190,5,ahl,Calgary Wranglers,Calgary Flames,18.89,2.03%,53.47%
273,Maxim Maltsev,F,"5'11""",201,2,belarus,Dinamo-Molodechno,-,13.72,2.01%,7.65%
274,Ivan Vorobyov,F,"6'0""",181,5,khl,Vityaz Moscow Region,St. Louis Blues,27.42,2.01%,17.79%
275,Alex Perevalov,F,"6'0""",194,3,vhl,totals,Carolina Hurricanes,16.61,2.0%,7.75%
56,Jack Nesbitt,F,"6'4""",183,0,"wjc-18, ohl",Windsor Spitfires,-,11.43,2.0%,19.88%
277,Otto Stenberg,F,"6'0""",187,2,"wjc-20, ahl, shl",Springfield Thunderbirds,St. Louis Blues,14.25,2.0%,13.32%
278,Maxim Velikov,F,"6'1""",198,1,"vhl, mhl",Toros Neftekamsk,-,11.42,1.99%,7.94%
57,Mikkel Eriksen,F,"5'11""",185,0,"wjc-18, superelit",Färjestad BK J20,-,8.14,1.99%,9.66%
280,Diego Buttazzoni,F,"5'9""",183,1,whl,Portland Winterhawks,-,14.16,1.98%,8.02%
281,Riley Patterson,F,"6'1""",192,1,ohl,Barrie Colts,Vancouver Canucks,10.89,1.98%,12.1%
282,Danila Sysoyev,F,"5'11""",179,1,"vhl, mhl",Omskie Krylia,-,14.75,1.97%,13.76%
283,Noah Dower-Nilsson,F,"6'0""",185,2,shl,Frölunda HC,Detroit Red Wings,13.26,1.96%,20.53%
284,Denver Barkey,F,"5'9""",154,2,ohl,London Knights,Philadelphia Flyers,19.37,1.96%,19.52%
285,Herman Traff,F,"6'3""",216,1,"allsvenskan, wjc-20, shl",HV71,New Jersey Devils,13.21,1.92%,18.32%
58,Henry Brzustewicz,D,"6'1""",194,0,ohl,London Knights,-,7.41,1.9%,13.63%
287,Juraj Pekarcik,F,"6'2""",205,2,"wjc-20, qmjhl",Moncton Wildcats,St. Louis Blues,13.32,1.9%,30.93%
288,Aiden Fink,F,"5'10""",161,2,ncaa,Penn State Univ.,Nashville Predators,21.05,1.89%,15.23%
289,Maxmilian Curran,F,"6'3""",187,1,whl,Tri-City Americans,Colorado Avalanche,13.19,1.89%,29.61%
290,Samuel Honzek,F,"6'4""",194,2,"ahl, nhl",Calgary Wranglers,Calgary Flames,11.76,1.89%,16.36%
291,Nikita Nedopyokin,F,"5'11""",190,2,"vhl, mhl",SKA-1946 St. Petersburg,-,12.95,1.88%,5.96%
292,Arttu Karki,D,"6'2""",181,2,liiga,totals,Vegas Golden Knights,11.78,1.88%,18.94%
59,Antonio Martorana,F,"5'8""",179,0,whl,Seattle Thunderbirds,-,8.04,1.86%,5.15%
294,Topias Vilen,D,"6'1""",194,4,ahl,Utica Comets,New Jersey Devils,13.21,1.86%,16.33%
60,Kale Dach,F,"5'11""",172,0,bchl,Sherwood Park Crusaders,-,10.59,1.86%,8.17%
296,Samu Tuomaala,F,"5'11""",190,4,ahl,Lehigh Valley Phantoms,Philadelphia Flyers,22.21,1.85%,8.37%
297,Maxim Strbak,D,"6'2""",203,2,"wjc-20, ncaa",Michigan State Univ.,Buffalo Sabres,11.43,1.83%,27.81%
298,Alex Blais,F,"5'10""",176,1,qmjhl,Rimouski Océanic,Anaheim Ducks,11.23,1.83%,4.84%
299,Jack Devine,F,"6'0""",181,3,ncaa,Univ. of Denver,Florida Panthers,20.58,1.81%,14.54%
300,Jack Thompson,D,"6'1""",190,5,"ahl, nhl",San Jose Sharks,Tampa Bay Lightning,21.85,1.81%,44.98%
301,Christian Humphreys,F,"5'11""",170,1,"ncaa, ohl",Kitchener Rangers,Colorado Avalanche,10.68,1.79%,5.62%
302,Yaroslav Busygin,D,"6'3""",187,4,khl,Vityaz Moscow Region,-,20.38,1.78%,16.27%
303,Brett Berard,F,"5'9""",174,5,"ahl, nhl",New York Rangers,New York Rangers,23.91,1.78%,8.68%
304,Ty Nelson,D,"5'10""",198,3,ahl,Coachella Valley Firebirds,Seattle Kraken,14.19,1.77%,57.33%
305,Simon Zether,F,"6'3""",194,1,allsvenskan,Västerås IK,Florida Panthers,13.83,1.77%,14.81%
61,Mikhail Fyodorov,F,"5'11""",152,0,mhl,Stalnye Lisy Magnitogorsk,-,11.24,1.77%,7.28%
307,Jagger Firkus,F,"5'11""",161,3,ahl,Coachella Valley Firebirds,Seattle Kraken,16.66,1.76%,16.88%
308,Jimi Suomi,D,"5'11""",174,4,liiga,KooKoo,-,16.5,1.76%,5.38%
62,Mateo Nobert,F,"6'0""",168,0,qmjhl,Blainville-Boisbriand Armada,-,10.85,1.75%,13.33%
310,Alfons Freij,D,"6'1""",196,1,"allsvenskan, superelit",IF Björklöven,Winnipeg Jets,7.88,1.75%,14.54%
311,Kasper Kulonummi,D,"6'0""",183,3,liiga,Kiekko-Espoo,Nashville Predators,13.09,1.75%,4.59%
312,Jamiro Reber,F,"5'10""",181,1,"wjc-20, shl",HV71,-,14.23,1.75%,12.96%
313,Kasper Puutio,D,"6'0""",179,5,liiga,Ässät,Florida Panthers,21.54,1.74%,7.93%
314,Joshua Zakreski,F,"5'11""",192,1,whl,Portland Winterhawks,-,12.29,1.74%,7.08%
315,Lukas Svejkovsky,F,"5'11""",174,5,liiga,Ilves,Pittsburgh Penguins,28.43,1.73%,4.8%
63,Max Westergard,F,"5'11""",168,0,"wjc-18, superelit",Frölunda HC J20,-,9.59,1.73%,10.33%
317,Nikita Smirnov,D,"6'0""",179,5,"khl, vhl",SKA-Neva St. Petersburg,-,15.71,1.72%,10.71%
318,Jesse Heslop,F,"5'11""",174,1,whl,Everett Silvertips,-,10.05,1.72%,5.83%
319,Ivan Okunev,F,"5'11""",179,1,mhl,Krasnaya Armiya Moskva,-,9.17,1.71%,6.02%
320,Mathieu Cataford,F,"6'0""",192,2,"wjc-20, qmjhl",Rimouski Océanic,Vegas Golden Knights,10.38,1.7%,7.69%
321,Zachary L'Heureux,F,"5'11""",196,4,nhl,Nashville Predators,Nashville Predators,19.84,1.69%,16.23%
322,Tom Willander,D,"6'1""",190,2,"wjc-20, ncaa",Boston Univ.,Vancouver Canucks,10.69,1.68%,19.07%
323,Heikki Ruohonen,F,"6'2""",205,1,"wjc-20, ushl",Dubuque Fighting Saints,Philadelphia Flyers,9.75,1.67%,13.42%
324,Carson Wetsch,F,"6'1""",198,1,whl,Calgary Hitmen,San Jose Sharks,8.86,1.66%,7.86%
325,Fraser Minten,F,"6'2""",192,3,"ahl, nhl",totals,Toronto Maple Leafs,18.08,1.66%,21.9%
326,Stian Solberg,D,"6'2""",205,1,"ahl, shl",Färjestad BK,Anaheim Ducks,12.57,1.66%,65.89%
327,Santeri Huovila,F,"6'0""",172,3,"liiga, mestis",JYP,-,28.14,1.65%,9.74%
328,Thomas Bordeleau,F,"5'10""",174,5,ahl,San Jose Barracuda,San Jose Sharks,20.57,1.65%,17.86%
329,Xavier Veilleux,D,"6'1""",192,1,ushl,Muskegon Lumberjacks,New York Islanders,7.89,1.65%,15.09%
330,Ethan Miedema,F,"6'4""",212,2,ohl,Kingston Frontenacs,Buffalo Sabres,10.2,1.64%,10.96%
64,Kurban Limatov,D,"6'4""",190,0,mhl,MHK Dynamo Moskva,-,5.88,1.63%,12.89%
332,Yegor Sidorov,F,"6'0""",183,3,ahl,San Diego Gulls,Anaheim Ducks,18.4,1.63%,20.98%
333,Mischa Ramel,F,"5'6""",159,4,nla,EHC Kloten,-,20.73,1.61%,2.02%
334,David Jiricek,D,"6'3""",209,3,"ahl, nhl",totals,Columbus Blue Jackets,13.15,1.6%,99.38%
335,Avery Hayes,F,"5'10""",174,4,ahl,Wilkes-Barre/Scranton Penguins,-,22.35,1.6%,3.18%
65,Alex Huang,D,"6'0""",161,0,"wjc-18, qmjhl",Chicoutimi Saguenéens,-,5.91,1.58%,11.05%
337,Anton Wahlberg,F,"6'3""",194,2,"wjc-20, ahl",Rochester Americans,Buffalo Sabres,16.21,1.58%,26.96%
338,Elias Salomonsson,D,"6'2""",185,3,ahl,Manitoba Moose,Winnipeg Jets,16.27,1.57%,48.36%
339,Angus Macdonell,F,"5'10""",185,2,ohl,Brampton Steelheads,Dallas Stars,13.87,1.56%,7.39%
340,Gavin Mccarthy,D,"6'2""",185,2,ncaa,Boston Univ.,Buffalo Sabres,6.52,1.56%,2.06%
341,Beau Akey,D,"6'0""",183,2,"wjc-20, ohl",Barrie Colts,Edmonton Oilers,6.63,1.56%,5.66%
342,Anthony Romani,F,"6'1""",190,2,ohl,totals,Vancouver Canucks,11.81,1.56%,21.55%
343,Sean Farrell,F,"5'9""",174,5,ahl,Laval Rocket,Montreal Canadiens,20.97,1.56%,12.1%
344,Quinton Burns,D,"6'2""",198,2,ohl,Kingston Frontenacs,St. Louis Blues,8.77,1.55%,12.41%
66,Alex Pershakov,F,"6'0""",176,0,"khl, mhl",Sibirskie Snaipery Novosibirsk,-,10.63,1.55%,6.94%
346,Cameron Lund,F,"6'2""",192,3,"ncaa, nhl",Northeastern Univ.,San Jose Sharks,18.36,1.55%,18.37%
347,Oasiz Wiesblatt,F,"5'9""",183,3,whl,Medicine Hat Tigers,-,18.08,1.55%,6.89%
348,Yegor Klimovich,F,"5'9""",163,2,mhl,Sibirskie Snaipery Novosibirsk,-,15.85,1.54%,7.1%
349,Jaromir Perez,F,"6'0""",179,2,czech,Bílí Tygři Liberec,-,24.58,1.54%,24.88%
350,Arseni Koromyslov,D,"6'5""",181,3,khl,totals,St. Louis Blues,13.71,1.54%,7.52%
67,Gavin Cornforth,F,"5'10""",170,0,ushl,Dubuque Fighting Saints,-,10.22,1.54%,5.21%
352,Caden Price,D,"6'1""",190,2,"wjc-20, whl",totals,Seattle Kraken,8.75,1.53%,42.61%
68,German Suzdorf,F,"6'7""",209,0,mhl,totals,-,7.19,1.53%,19.3%
354,Tikhon Shakalov,D,"6'2""",209,1,mhl,Belye Medvedi Chelyabinsk,-,5.38,1.52%,6.17%
355,Ethan Cardwell,F,"5'11""",181,5,"ahl, nhl",San Jose Barracuda,San Jose Sharks,23.4,1.52%,17.07%
356,John Mustard,F,"6'1""",185,1,ncaa,Providence College,Chicago Blackhawks,8.59,1.51%,9.6%
357,Prokhor Korbit,F,"6'3""",209,5,"khl, vhl",Khimik Voskresensk,-,27.07,1.51%,22.24%
358,Harrison Brunicke,D,"6'3""",203,1,"ahl, whl",Kamloops Blazers,Pittsburgh Penguins,8.07,1.5%,24.52%
359,Oliver Bonk,D,"6'2""",198,2,"wjc-20, ohl",London Knights,Philadelphia Flyers,9.06,1.48%,46.08%
360,Artyom Shchuchinov,D,"5'11""",154,1,"khl, vhl",Chelmet Chelyabinsk,-,17.27,1.47%,54.48%
69,Geno Carcone,F,"5'9""",190,0,ushl,Green Bay Gamblers,-,9.46,1.47%,3.79%
362,Colton Roberts,D,"6'4""",201,1,whl,Vancouver Giants,San Jose Sharks,6.32,1.47%,15.24%
70,Daniil Petrenko,F,"5'10""",179,0,mhl,Tolpar Ufa,-,9.11,1.47%,6.27%
364,Emmitt Finnie,F,"6'1""",190,2,"ahl, whl",Kamloops Blazers,Detroit Red Wings,17.43,1.47%,18.17%
365,Justin Sourdif,F,"5'11""",172,5,ahl,Charlotte Checkers,Florida Panthers,25.25,1.45%,13.03%
366,Emil Heineman,F,"6'2""",194,5,nhl,Montréal Canadiens,Florida Panthers,23.81,1.45%,28.1%
367,Aleksanteri Kaskimaki,F,"6'0""",192,3,ahl,Springfield Thunderbirds,St. Louis Blues,17.23,1.45%,5.88%
368,Tanner Adams,F,"5'11""",194,2,ncaa,Providence College,-,9.45,1.45%,5.63%
369,Matvei Ladutko,F,"5'8""",205,2,mhl,Dinamo-Shinnik Bobruysk,-,7.28,1.45%,1.3%
370,Viktor Neuchev,F,"5'11""",172,3,ahl,Rochester Americans,Buffalo Sabres,18.01,1.44%,6.12%
371,Cedrick Guindon,F,"5'10""",181,3,ohl,Kingston Frontenacs,Montreal Canadiens,15.21,1.44%,4.42%
372,Tuomas Uronen,F,"6'0""",190,2,"wjc-20, ohl",Kingston Frontenacs,Vegas Golden Knights,16.13,1.44%,7.15%
71,Dmitri Isayev,F,"5'9""",148,0,mhl,Avto Yekaterinburg,-,12.03,1.43%,6.66%
374,Marek Vanacker,F,"6'1""",170,1,ohl,Brantford Bulldogs,Chicago Blackhawks,11.03,1.43%,10.34%
375,Kocha Delic,F,"5'11""",198,3,ohl,Sudbury Wolves,-,13.87,1.42%,8.01%
376,Ilya Lyuzenkov,F,"6'0""",176,1,mhl,Sibirskie Snaipery Novosibirsk,-,14.22,1.42%,12.32%
377,Stepan Gorbunov,F,"6'5""",196,1,"vhl, mhl",Chelmet Chelyabinsk,Florida Panthers,14.49,1.41%,38.66%
378,Daniil Karpovich,D,"6'3""",209,2,vhl,Gornyak-UGMK,New Jersey Devils,5.67,1.41%,6.79%
379,Christian Kyrou,D,"5'11""",165,3,ahl,Texas Stars,Dallas Stars,13.31,1.41%,24.03%
380,Calem Mangone,F,"5'9""",165,2,ohl,Saginaw Spirit,-,15.08,1.41%,3.47%
72,Nathan Brisson,F,"5'10""",174,0,qmjhl,Val-d'Or Foreurs,-,10.71,1.41%,4.2%
382,Adam Sykora,F,"5'11""",192,3,ahl,Hartford Wolf Pack,New York Rangers,13.49,1.4%,8.66%
73,Luca Romano,F,"5'11""",176,0,ohl,Kitchener Rangers,-,8.99,1.4%,6.92%
384,Ilya Pautov,F,"5'10""",165,1,mhl,Krasnaya Armiya Moskva,Philadelphia Flyers,10.18,1.4%,5.16%
74,Ruslan Karimov,F,"6'0""",201,0,ohl,Sarnia Sting,-,5.19,1.4%,5.12%
386,Alex Bump,F,"6'0""",194,3,ncaa,Western Michigan Univ.,Philadelphia Flyers,17.78,1.39%,7.62%
387,Danil Gololobov,D,"6'0""",168,4,"khl, vhl",Magnitka Magnitogorsk,-,12.85,1.39%,1.07%
75,Malik Saberzyanov,F,"5'10""",165,0,mhl,Irbis Kazan,-,11.31,1.38%,4.65%
389,Brad Lambert,F,"6'0""",183,3,"ahl, nhl",Manitoba Moose,Winnipeg Jets,18.18,1.37%,17.26%
390,Alexei Dontsov,F,"5'8""",176,1,mhl,Krasnaya Armiya Moskva,-,10.0,1.37%,3.2%
391,Lian Bichsel,D,"6'7""",231,3,"ahl, nhl",Dallas Stars,Dallas Stars,15.54,1.37%,74.44%
392,Adam Kleber,D,"6'6""",214,1,"wjc-20, ncaa",Univ. of Minnesota-Duluth,Buffalo Sabres,2.6,1.36%,5.44%
393,Quinn Finley,F,"6'0""",179,3,ncaa,Univ. of Wisconsin,New York Islanders,17.18,1.36%,10.78%
394,Oiva Keskinen,F,"6'0""",181,3,liiga,Tappara,Columbus Blue Jackets,21.46,1.36%,10.26%
395,Carson Woodall,D,"6'0""",185,1,ohl,Windsor Spitfires,-,6.8,1.35%,6.76%
76,Shane Vansaghi,F,"6'2""",216,0,ncaa,Michigan State Univ.,-,6.87,1.34%,5.46%
397,Tanner Molendyk,D,"6'0""",181,2,"wjc-20, whl",totals,Nashville Predators,10.9,1.34%,34.76%
398,Ryan Ufko,D,"5'10""",181,4,ahl,Milwaukee Admirals,Nashville Predators,13.31,1.34%,23.72%
399,Eriks Mateiko,F,"6'6""",209,1,"wjc-20, qmjhl",totals,Washington Capitals,9.4,1.33%,12.99%
400,Tommaso De Luca,F,"6'0""",187,2,nla,HC Ambrì-Piotta,-,11.58,1.33%,10.11%
401,Charlie Paquette,F,"6'2""",207,1,ohl,Guelph Storm,-,12.16,1.33%,10.28%
402,David Goyette,F,"5'11""",174,3,ahl,Coachella Valley Firebirds,Seattle Kraken,10.64,1.32%,8.89%
403,Kale Mccallum,D,"5'11""",183,5,usports,Univ. of New Brunswick,-,14.76,1.31%,1.91%
404,Oskar Vuollet,F,"5'11""",183,1,"wjc-20, shl",Skellefteå AIK,Carolina Hurricanes,8.62,1.31%,2.6%
405,Connor Levis,F,"6'1""",192,2,whl,Vancouver Giants,Winnipeg Jets,10.14,1.31%,4.09%
406,Timofei Zhulin,F,"5'11""",168,1,"khl, vhl, mhl",Bars Kazan,-,18.89,1.31%,12.52%
407,Hiroki Gojsic,F,"6'3""",209,1,whl,Kelowna Rockets,Nashville Predators,7.03,1.3%,8.52%
408,Vojtech Hradec,F,"6'4""",201,1,"wjc-20, czech",BK Mladá Boleslav,Utah Mammoth,17.05,1.3%,19.92%
409,C.J. Foley,D,"5'11""",174,3,ncaa,Dartmouth College,-,14.44,1.29%,1.92%
410,Brandon Lisowsky,F,"5'9""",181,3,whl,totals,Toronto Maple Leafs,14.05,1.29%,4.15%
411,Colton Dach,F,"6'4""",196,4,"ahl, nhl",Rockford IceHogs,Chicago Blackhawks,24.21,1.28%,31.98%
412,Marco Mignosa,F,"5'11""",170,2,ohl,Soo Greyhounds,-,17.31,1.27%,8.49%
77,Vladislav Murzov,D,"6'1""",187,0,belarus-vysshaya,Neftekhimik Novopolotsk,-,5.63,1.26%,8.57%
414,Lucas Pettersson,F,"5'11""",179,1,"allsvenskan, superelit, shl",MoDo Hockey,Anaheim Ducks,10.38,1.26%,5.63%
415,Veeti Vaisanen,D,"6'0""",190,1,"wjc-20, whl",Medicine Hat Tigers,Utah Mammoth,4.62,1.26%,3.83%
416,Yaroslav Yapparov,F,"6'2""",176,3,vhl,Zvezda Moskva,-,21.9,1.26%,5.87%
417,Vinzenz Rohrer,F,"5'10""",161,3,nla,ZSC Lions,Montreal Canadiens,18.09,1.25%,8.29%
78,Luka Radivojevic,D,"5'10""",168,0,"wjc-18, wjc-20, superelit, ushl",Muskegon Lumberjacks,-,6.98,1.25%,10.15%
419,Roope Vesterinen,F,"5'10""",183,1,"liiga, u20 sm-liiga",HPK,-,17.54,1.25%,8.93%
420,Tristan Broz,F,"6'0""",205,4,ahl,Wilkes-Barre/Scranton Penguins,Pittsburgh Penguins,20.03,1.25%,4.55%
421,Pano Fimis,F,"5'11""",183,3,ohl,Erie Otters,-,14.94,1.25%,5.87%
79,Vojtech Cihar,F,"6'0""",181,0,"wjc-18, wjc-20, czech",HC Energie Karlovy Vary,-,9.23,1.25%,7.21%
423,Rasmus Kumpulainen,F,"6'4""",203,2,"wjc-20, liiga",Pelicans,Minnesota Wild,11.95,1.24%,17.81%
424,Dylan Duke,F,"5'10""",176,4,ahl,Syracuse Crunch,Tampa Bay Lightning,20.6,1.23%,4.59%
425,Matvei Shuravin,D,"6'2""",172,1,mhl,Krasnaya Armiya Moskva,Florida Panthers,7.43,1.23%,5.36%
426,Luke Osburn,D,"6'1""",185,1,ushl,Youngstown Phantoms,Buffalo Sabres,8.75,1.23%,18.64%
427,Sawyer Mynio,D,"6'1""",181,2,whl,totals,Vancouver Canucks,10.64,1.22%,17.9%
428,Jaden Lipinski,F,"6'4""",209,2,whl,Vancouver Giants,Calgary Flames,11.39,1.22%,11.78%
429,Antonio Stranges,F,"5'11""",185,5,ahl,Texas Stars,Dallas Stars,24.97,1.22%,5.08%
430,James Reeder,F,"5'10""",168,1,ncaa,Univ. of Denver,Los Angeles Kings,7.58,1.22%,1.71%
431,Gracyn Sawchyn,F,"6'0""",154,2,whl,Edmonton Oil Kings,Florida Panthers,16.73,1.22%,9.9%
432,Carter Mazur,F,"6'0""",172,5,ahl,Grand Rapids Griffins,Detroit Red Wings,23.95,1.21%,8.87%
80,Zsolt Mathe,F,"6'0""",165,0,romania,Gyergyói HK,-,9.4,1.21%,4.88%
434,Ben Danford,D,"6'2""",194,1,ohl,Oshawa Generals,Toronto Maple Leafs,4.84,1.21%,5.18%
81,Donato Bracco,D,"5'10""",161,0,"wjc-18, ushl, usdp",U.S. National U18 Team,-,5.51,1.21%,9.61%
436,Will Felicio,D,"5'10""",161,1,ncaa,Univ. of Michigan,-,6.99,1.21%,4.22%
437,Nikita Chibrikov,F,"5'10""",172,4,ahl,Manitoba Moose,Winnipeg Jets,19.16,1.2%,19.73%
82,Aaron Obobaifo,F,"5'10""",185,0,whl,Vancouver Giants,-,8.91,1.2%,4.28%
439,Ivan Ryabov,F,"6'0""",181,2,"khl, vhl, mhl",Khimik Voskresensk,-,13.31,1.19%,5.41%
440,Ben Robertson,D,"5'11""",192,2,ncaa,Cornell Univ.,-,6.62,1.19%,9.79%
441,Marcus Kearsey,D,"5'11""",176,1,qmjhl,Charlottetown Islanders,-,5.62,1.19%,2.92%
442,Darels Uljanskis,D,"6'2""",194,1,"wjc-20, superelit",AIK J20,Anaheim Ducks,6.41,1.19%,12.02%
83,Tanner Lam,F,"5'10""",157,0,ohl,Kitchener Rangers,-,9.34,1.18%,5.1%
444,Felix Unger Sorum,F,"5'11""",172,2,"wjc-20, ahl",Chicago Wolves,Carolina Hurricanes,12.64,1.18%,17.26%
445,Brayden Edwards,F,"6'1""",187,2,whl,Lethbridge Hurricanes,-,13.72,1.17%,7.07%
446,Yegor Graf,F,"5'11""",159,1,mhl,SKA-1946 St. Petersburg,-,9.76,1.17%,5.01%
447,Roni Karvinen,F,"6'0""",198,4,liiga,SaiPa,-,19.43,1.17%,5.45%
448,Yegor Solovyov,F,"6'0""",198,2,mhl,Krasnaya Armiya Moskva,-,11.53,1.17%,8.66%
449,Nikita Ishimnikov,D,"6'3""",194,2,"khl, vhl, mhl",Gornyak-UGMK,Colorado Avalanche,8.36,1.16%,1.91%
84,Mason Moe,F,"6'1""",185,0,"ushl, usdp",Madison Capitols,-,9.38,1.16%,7.49%
451,Ty Mueller,F,"5'11""",185,4,ahl,Abbotsford Canucks,Vancouver Canucks,19.46,1.16%,3.39%
452,William Mcisaac,D,"6'3""",201,1,whl,Spokane Chiefs,St. Louis Blues,6.49,1.16%,12.95%
453,Yegor Chernikov,F,"6'3""",205,4,khl,Lada Togliatti,-,19.98,1.16%,10.83%
85,Carson Cameron,D,"6'2""",194,0,ohl,Peterborough Petes,-,4.31,1.15%,16.2%
455,Vasili Ponomaryov,F,"5'10""",181,5,"ahl, nhl",Wilkes-Barre/Scranton Penguins,Carolina Hurricanes,21.12,1.15%,9.48%
456,Vyacheslav Malov,F,"5'8""",176,3,"vhl, mhl",Omskie Krylia,-,14.22,1.14%,3.03%
457,Sergei Lukyantsev,F,"6'1""",205,2,"khl, vhl, mhl",Khimik Voskresensk,-,13.82,1.14%,4.4%
